"time_id","time_actual","hours_24","hours_12","hour_minutes","day_minutes","minute_seconds","day_time_name","day_night"
606,00:06:06,"00","12","06",366,6,AM,Night
607,00:06:07,"00","12","06",367,7,AM,Night
608,00:06:08,"00","12","06",368,8,AM,Night
609,00:06:09,"00","12","06",369,9,AM,Night
610,00:06:10,"00","12","06",370,10,AM,Night
611,00:06:11,"00","12","06",371,11,AM,Night
612,00:06:12,"00","12","06",372,12,AM,Night
613,00:06:13,"00","12","06",373,13,AM,Night
614,00:06:14,"00","12","06",374,14,AM,Night
615,00:06:15,"00","12","06",375,15,AM,Night
616,00:06:16,"00","12","06",376,16,AM,Night
617,00:06:17,"00","12","06",377,17,AM,Night
618,00:06:18,"00","12","06",378,18,AM,Night
619,00:06:19,"00","12","06",379,19,AM,Night
620,00:06:20,"00","12","06",380,20,AM,Night
621,00:06:21,"00","12","06",381,21,AM,Night
622,00:06:22,"00","12","06",382,22,AM,Night
623,00:06:23,"00","12","06",383,23,AM,Night
624,00:06:24,"00","12","06",384,24,AM,Night
625,00:06:25,"00","12","06",385,25,AM,Night
626,00:06:26,"00","12","06",386,26,AM,Night
627,00:06:27,"00","12","06",387,27,AM,Night
628,00:06:28,"00","12","06",388,28,AM,Night
629,00:06:29,"00","12","06",389,29,AM,Night
630,00:06:30,"00","12","06",390,30,AM,Night
631,00:06:31,"00","12","06",391,31,AM,Night
632,00:06:32,"00","12","06",392,32,AM,Night
633,00:06:33,"00","12","06",393,33,AM,Night
634,00:06:34,"00","12","06",394,34,AM,Night
635,00:06:35,"00","12","06",395,35,AM,Night
636,00:06:36,"00","12","06",396,36,AM,Night
637,00:06:37,"00","12","06",397,37,AM,Night
638,00:06:38,"00","12","06",398,38,AM,Night
639,00:06:39,"00","12","06",399,39,AM,Night
640,00:06:40,"00","12","06",400,40,AM,Night
641,00:06:41,"00","12","06",401,41,AM,Night
642,00:06:42,"00","12","06",402,42,AM,Night
643,00:06:43,"00","12","06",403,43,AM,Night
644,00:06:44,"00","12","06",404,44,AM,Night
645,00:06:45,"00","12","06",405,45,AM,Night
646,00:06:46,"00","12","06",406,46,AM,Night
647,00:06:47,"00","12","06",407,47,AM,Night
648,00:06:48,"00","12","06",408,48,AM,Night
649,00:06:49,"00","12","06",409,49,AM,Night
650,00:06:50,"00","12","06",410,50,AM,Night
651,00:06:51,"00","12","06",411,51,AM,Night
652,00:06:52,"00","12","06",412,52,AM,Night
653,00:06:53,"00","12","06",413,53,AM,Night
654,00:06:54,"00","12","06",414,54,AM,Night
655,00:06:55,"00","12","06",415,55,AM,Night
656,00:06:56,"00","12","06",416,56,AM,Night
657,00:06:57,"00","12","06",417,57,AM,Night
658,00:06:58,"00","12","06",418,58,AM,Night
659,00:06:59,"00","12","06",419,59,AM,Night
700,00:07:00,"00","12","07",420,0,AM,Night
701,00:07:01,"00","12","07",421,1,AM,Night
702,00:07:02,"00","12","07",422,2,AM,Night
703,00:07:03,"00","12","07",423,3,AM,Night
704,00:07:04,"00","12","07",424,4,AM,Night
705,00:07:05,"00","12","07",425,5,AM,Night
706,00:07:06,"00","12","07",426,6,AM,Night
707,00:07:07,"00","12","07",427,7,AM,Night
708,00:07:08,"00","12","07",428,8,AM,Night
709,00:07:09,"00","12","07",429,9,AM,Night
710,00:07:10,"00","12","07",430,10,AM,Night
711,00:07:11,"00","12","07",431,11,AM,Night
712,00:07:12,"00","12","07",432,12,AM,Night
713,00:07:13,"00","12","07",433,13,AM,Night
714,00:07:14,"00","12","07",434,14,AM,Night
715,00:07:15,"00","12","07",435,15,AM,Night
716,00:07:16,"00","12","07",436,16,AM,Night
717,00:07:17,"00","12","07",437,17,AM,Night
718,00:07:18,"00","12","07",438,18,AM,Night
719,00:07:19,"00","12","07",439,19,AM,Night
720,00:07:20,"00","12","07",440,20,AM,Night
721,00:07:21,"00","12","07",441,21,AM,Night
722,00:07:22,"00","12","07",442,22,AM,Night
723,00:07:23,"00","12","07",443,23,AM,Night
724,00:07:24,"00","12","07",444,24,AM,Night
725,00:07:25,"00","12","07",445,25,AM,Night
726,00:07:26,"00","12","07",446,26,AM,Night
727,00:07:27,"00","12","07",447,27,AM,Night
728,00:07:28,"00","12","07",448,28,AM,Night
729,00:07:29,"00","12","07",449,29,AM,Night
730,00:07:30,"00","12","07",450,30,AM,Night
731,00:07:31,"00","12","07",451,31,AM,Night
732,00:07:32,"00","12","07",452,32,AM,Night
733,00:07:33,"00","12","07",453,33,AM,Night
734,00:07:34,"00","12","07",454,34,AM,Night
735,00:07:35,"00","12","07",455,35,AM,Night
736,00:07:36,"00","12","07",456,36,AM,Night
737,00:07:37,"00","12","07",457,37,AM,Night
738,00:07:38,"00","12","07",458,38,AM,Night
739,00:07:39,"00","12","07",459,39,AM,Night
740,00:07:40,"00","12","07",460,40,AM,Night
741,00:07:41,"00","12","07",461,41,AM,Night
742,00:07:42,"00","12","07",462,42,AM,Night
743,00:07:43,"00","12","07",463,43,AM,Night
744,00:07:44,"00","12","07",464,44,AM,Night
745,00:07:45,"00","12","07",465,45,AM,Night
746,00:07:46,"00","12","07",466,46,AM,Night
747,00:07:47,"00","12","07",467,47,AM,Night
748,00:07:48,"00","12","07",468,48,AM,Night
749,00:07:49,"00","12","07",469,49,AM,Night
750,00:07:50,"00","12","07",470,50,AM,Night
751,00:07:51,"00","12","07",471,51,AM,Night
752,00:07:52,"00","12","07",472,52,AM,Night
753,00:07:53,"00","12","07",473,53,AM,Night
754,00:07:54,"00","12","07",474,54,AM,Night
755,00:07:55,"00","12","07",475,55,AM,Night
756,00:07:56,"00","12","07",476,56,AM,Night
757,00:07:57,"00","12","07",477,57,AM,Night
758,00:07:58,"00","12","07",478,58,AM,Night
759,00:07:59,"00","12","07",479,59,AM,Night
800,00:08:00,"00","12","08",480,0,AM,Night
801,00:08:01,"00","12","08",481,1,AM,Night
802,00:08:02,"00","12","08",482,2,AM,Night
803,00:08:03,"00","12","08",483,3,AM,Night
804,00:08:04,"00","12","08",484,4,AM,Night
805,00:08:05,"00","12","08",485,5,AM,Night
806,00:08:06,"00","12","08",486,6,AM,Night
807,00:08:07,"00","12","08",487,7,AM,Night
808,00:08:08,"00","12","08",488,8,AM,Night
809,00:08:09,"00","12","08",489,9,AM,Night
810,00:08:10,"00","12","08",490,10,AM,Night
811,00:08:11,"00","12","08",491,11,AM,Night
812,00:08:12,"00","12","08",492,12,AM,Night
813,00:08:13,"00","12","08",493,13,AM,Night
814,00:08:14,"00","12","08",494,14,AM,Night
815,00:08:15,"00","12","08",495,15,AM,Night
816,00:08:16,"00","12","08",496,16,AM,Night
817,00:08:17,"00","12","08",497,17,AM,Night
818,00:08:18,"00","12","08",498,18,AM,Night
819,00:08:19,"00","12","08",499,19,AM,Night
820,00:08:20,"00","12","08",500,20,AM,Night
821,00:08:21,"00","12","08",501,21,AM,Night
822,00:08:22,"00","12","08",502,22,AM,Night
823,00:08:23,"00","12","08",503,23,AM,Night
824,00:08:24,"00","12","08",504,24,AM,Night
825,00:08:25,"00","12","08",505,25,AM,Night
826,00:08:26,"00","12","08",506,26,AM,Night
827,00:08:27,"00","12","08",507,27,AM,Night
828,00:08:28,"00","12","08",508,28,AM,Night
829,00:08:29,"00","12","08",509,29,AM,Night
830,00:08:30,"00","12","08",510,30,AM,Night
831,00:08:31,"00","12","08",511,31,AM,Night
832,00:08:32,"00","12","08",512,32,AM,Night
833,00:08:33,"00","12","08",513,33,AM,Night
834,00:08:34,"00","12","08",514,34,AM,Night
835,00:08:35,"00","12","08",515,35,AM,Night
836,00:08:36,"00","12","08",516,36,AM,Night
837,00:08:37,"00","12","08",517,37,AM,Night
838,00:08:38,"00","12","08",518,38,AM,Night
839,00:08:39,"00","12","08",519,39,AM,Night
840,00:08:40,"00","12","08",520,40,AM,Night
841,00:08:41,"00","12","08",521,41,AM,Night
842,00:08:42,"00","12","08",522,42,AM,Night
843,00:08:43,"00","12","08",523,43,AM,Night
844,00:08:44,"00","12","08",524,44,AM,Night
845,00:08:45,"00","12","08",525,45,AM,Night
846,00:08:46,"00","12","08",526,46,AM,Night
847,00:08:47,"00","12","08",527,47,AM,Night
848,00:08:48,"00","12","08",528,48,AM,Night
849,00:08:49,"00","12","08",529,49,AM,Night
850,00:08:50,"00","12","08",530,50,AM,Night
851,00:08:51,"00","12","08",531,51,AM,Night
852,00:08:52,"00","12","08",532,52,AM,Night
853,00:08:53,"00","12","08",533,53,AM,Night
854,00:08:54,"00","12","08",534,54,AM,Night
855,00:08:55,"00","12","08",535,55,AM,Night
856,00:08:56,"00","12","08",536,56,AM,Night
857,00:08:57,"00","12","08",537,57,AM,Night
858,00:08:58,"00","12","08",538,58,AM,Night
859,00:08:59,"00","12","08",539,59,AM,Night
900,00:09:00,"00","12","09",540,0,AM,Night
901,00:09:01,"00","12","09",541,1,AM,Night
902,00:09:02,"00","12","09",542,2,AM,Night
903,00:09:03,"00","12","09",543,3,AM,Night
904,00:09:04,"00","12","09",544,4,AM,Night
905,00:09:05,"00","12","09",545,5,AM,Night
906,00:09:06,"00","12","09",546,6,AM,Night
907,00:09:07,"00","12","09",547,7,AM,Night
908,00:09:08,"00","12","09",548,8,AM,Night
